BUS#,x,y
1000,-238,-725
1001,-268,-685
1002,752,809
1003,769,804
1004,687,561
1005,662,546
1006,762,864
1007,260,-3033
1008,246,-3056
1009,276,-3103
1010,293,-3086
1011,1491,2184
1012,327,-1203
1013,352,-1214
1014,346,-1233
1015,2802,2320
1016,2806,2270
1017,1001,674
1018,1011,651
1019,915,383
1020,911,407
1021,2749,-1684
1022,1461,-880
1023,1660,-1072
1024,1660,-1046
1025,1612,-1106
1026,1948,2390
1027,2751,2808
1029,1319,-847
1030,1305,-872
1031,1078,-1731
1032,1292,-309
1033,960,-1530
1034,1244,1161
1036,1257,1143
1037,1227,1192
1038,1364,-1619
1039,1345,-1629
1040,1374,-1592
1041,1354,-1585
1042,1307,-1628
1043,1324,-1614
1044,551,47
1045,505,30
1047,792,555
1048,733,-1490
1049,727,601
1050,788,582
1051,776,532
1052,771,602
1053,1057,-928
1054,320,-3090
1055,261,-3078
1056,989,-1806
1057,651,-2373
1058,1202,-890
1059,2213,-1829
1060,2211,-1861
1061,970,-1623
1062,707,-1482
1066,679,322
1067,1761,-2378
1068,1188,-2387
1069,794,-2014
1070,848,-2033
1071,795,-1987
1072,818,-2027
1073,1426,-1494
1074,1419,-1517
1075,1455,-1491
1076,1462,-1510
1077,1438,-1461
1078,1459,-1470
1079,1451,-1534
1080,1435,-1548
1081,787,739
1082,809,725
1083,989,-1679
1084,-696,490
1085,-711,452
1086,-670,558
1087,-707,529
1088,1869,1222
1089,1860,1245
1090,714,507
1091,759,719
1092,703,257
1093,703,45
1094,641,786
1095,1432,2113
1096,832,-468
1097,789,-107
1098,818,-295
1099,825,368
1100,910,619
1101,1364,-855
1102,1404,-1052
1103,1446,-1310
1104,1748,2235
1105,985,-570
1106,963,-2129
1107,48,0
1108,2426,-1595
1109,1063,2437
1110,1136,-413
1111,228,214
1112,795,-151
1113,1263,-2064
1114,1232,-816
1115,1161,1128
1116,1984,2351
1117,764,27
1118,1300,-1557
1119,912,-715
1120,692,-193
1121,715,112
1123,554,-7
1124,697,535
1125,978,-738
1126,1335,1359
1127,433,-576
1128,396,-547
1129,764,-346
1130,734,-379
1131,1542,-528
1132,897,993
1133,824,420
1134,406,416
1136,2127,-1817
1137,2600,-1798
1138,597,315
1139,1042,-2200
1140,828,-241
1141,1004,-309
1142,1349,2391
1143,1269,2298
1144,639,266
1145,1363,1597
1146,1058,1182
1147,519,545
1148,1369,-1490
1149,721,682
1150,644,526
1151,1130,-1867
1152,679,-116
1153,997,1100
1154,1751,-1387
1155,368,-101
1156,682,204
1157,518,61
1158,1136,-1159
1159,1823,2202
1160,1918,2165
1161,821,-196
1162,839,-193
1163,1359,-538
1164,1958,2291
1165,1741,-1311
1166,1073,-728
1167,844,-2351
1168,887,-2086
1169,1269,-521
1170,4,298
1171,0,287
1172,1175,-2112
1173,2300,2524
1174,829,88
1175,820,67
1176,839,69
1177,723,-891
1178,524,-60
1179,398,-61
1180,704,700
1181,1020,-850
1182,1536,1414
1183,820,1294
1184,966,371
1185,238,527
1186,567,-53
1187,37,680
1188,166,565
1189,732,-450
1190,529,439
1191,313,384
1192,1626,1705
1193,1179,1409
1194,435,878
1195,349,757
1196,582,839
1197,779,782
1198,528,664
1199,944,-1807
1200,528,-55
1201,1053,1146
1202,1080,1914
1203,786,1440
1204,2049,-1463
1205,141,-289
1206,867,-1329
1207,1327,1555
1208,2398,-1573
1209,2478,-1579
1210,789,1380
1211,698,-2614
1212,710,-618
1213,540,713
1214,-109,-277
1215,876,-435
1216,920,-464
1217,433,-2941
1218,-1185,2158
1219,1322,-618
1220,1219,-600
1221,1237,-445
1222,559,-2881
1223,-253,-282
1224,515,156
1225,2666,-1661
1226,1876,1777
1227,525,720
1228,-219,-287
1229,1022,-1940
1230,247,195
1231,619,-259
1232,1097,-538
1233,550,-211
1234,33,394
1235,-90,418
1236,645,137
1237,2110,-1334
1238,1931,-1833
1239,380,1278
1240,374,-435
1241,450,985
1242,1038,1840
1243,658,-372
1244,482,-493
1245,639,-399
1246,459,-475
1247,1128,-2184
1248,1349,-507
1249,1098,-2068
1250,550,794
1251,512,801
1252,875,144
1253,244,419
1254,673,-588
1255,1977,-1315
1256,1914,1815
1257,731,1347
1258,135,-454
1259,-164,-511
1260,359,712
1261,323,829
1262,991,1375
1263,89,-202
1264,470,465
1265,785,983
1266,449,587
1267,1034,-1680
1268,1312,-316
1269,1296,-332
1270,1280,-294
1271,1096,-397
1272,1203,-360
1273,2120,2328
1274,925,-1481
1275,1388,-514
1276,855,-313
1277,817,-345
1278,2035,-1318
1279,1108,-667
1280,1013,-651
1281,882,-668
1282,989,-639
1283,872,1361
1284,295,758
1285,2296,2442
1286,2414,2509
1287,641,962
1288,2161,-1359
1289,970,-499
1290,895,-560
1291,932,-554
1292,863,-2165
1293,2279,-1561
1294,2122,-1315
1295,2003,-1341
1296,629,-1107
1297,837,-2208
1298,2639,2710
1299,2630,2721
1300,1103,-805
1301,681,-960
1302,565,1391
1303,191,1338
1304,-52,1424
1305,853,-451
1306,2113,-1416
1307,1900,-1313
1308,863,-2112
1309,816,-697
1310,431,-841
1311,968,-1737
1312,2044,2249
1313,173,819
1314,711,-970
1315,695,-1458
1316,1342,-474
1317,816,-2090
1318,671,-2297
1319,624,-2357
1320,1005,-407
1321,-293,402
1322,1778,1737
1323,487,728
1324,758,-1418
1325,545,692
1326,579,-361
1327,1173,-2309
1328,1753,-2399
1329,264,-87
1330,1322,-444
1331,2000,2110
1332,639,19
1333,735,61
1334,1976,2090
1335,2031,2351
1336,901,1394
1337,843,1401
1338,787,-513
1339,1870,-1316
1340,548,-383
1341,294,913
1342,780,864
1343,1480,-358
1344,1490,-430
1345,708,82
1346,1167,325
1347,2504,2612
1348,2017,-1870
1349,1492,-482
1350,1684,-523
1351,1714,1868
1352,1425,-530
1354,-379,380
1355,-314,375
1356,1264,1484
1357,-1074,1989
1358,2877,2867
1359,-51,-285
1360,3055,2923
1361,2186,-1475
1362,3065,2875
1363,1639,1806
1364,985,1738
1365,816,-1464
1366,-254,-427
1367,-242,-398
1368,1578,-528
1369,-473,449
1370,-202,375
1371,683,-534
1372,1378,-394
1373,1380,-431
1374,467,-265
1375,112,-493
1376,2559,-1629
1377,-466,-304
1378,-457,-330
1379,507,493
1380,808,1383
1381,-364,-295
1382,1304,-378
1383,407,-1151
1384,554,-1026
1385,2167,2176
1386,2380,2202
1387,1118,-512
1388,1114,-526
1389,1342,-571
1390,1143,-595
1391,703,-451
1392,2133,2144
1393,580,-475
1394,402,1139
1395,951,-2174
1396,1641,1447
1397,927,1615
1398,-177,-490
1399,53,-429
1400,194,-324
1401,311,234
1402,1986,1943
1403,287,140
1404,1160,345
1405,1172,304
1406,485,488
1407,158,-129
1408,2515,-1757
1409,-38,-133
1410,-26,-131
1411,-52,-269
1412,-46,-123
1413,135,-379
1414,867,-1501
1415,463,201
1416,1700,1483
1417,1630,1462
1418,-396,-263
1419,2191,2245
1420,-155,-383
1421,-145,-370
1422,-80,-452
1423,1832,1817
1424,593,1312
1425,383,94
1426,-496,390
1427,-497,371
1428,156,-160
1429,317,-159
1430,243,911
1431,334,982
1432,403,-107
1433,263,-555
1434,468,-410
1435,-444,-283
1436,-674,-304
1437,-579,-293
1438,360,873
1439,792,850
1440,974,-456
1441,1115,-443
1442,737,904
1443,1067,294
1444,1814,1949
1445,808,963
1446,870,910
1447,2034,2210
1449,1861,-1281
1450,2287,-1477
1451,545,492
1452,884,888
1453,952,1463
1454,1758,1455
1455,438,792
1456,1663,1434
1457,719,-535
1458,82,758
1459,1135,-792
1460,1113,-471
1461,1115,-484
1462,2394,-1665
1463,703,849
1464,1318,1531
1465,526,-225
1466,537,-228
1467,430,146
1468,118,641
1469,809,-570
1470,863,-552
1471,1202,-671
1472,1145,-823
1473,1459,1657
1474,2182,2350
1475,2136,-1462
1476,2032,-1383
1477,1237,1469
1478,597,-481
1479,893,-1656
1480,858,-1966
1481,894,-1579
1482,860,-1643
1483,927,178
1484,652,1367
1485,121,-335
1486,1527,-552
1487,215,-222
1488,318,946
1489,144,915
1490,411,871
1491,786,114
1492,1911,-1345
1493,-85,447
1494,-179,452
1495,86,422
1496,531,970
1497,889,-1977
1498,-1114,1955
1499,664,-701
1501,73,-156
1502,178,981
1503,2342,-1574
1504,593,-1175
1505,574,-1161
1506,615,-1182
1507,814,-2288
1508,373,-902
1509,93,860
1510,1869,1745
1511,988,-321
1512,2085,2129
1513,710,62
1515,582,-50
1516,467,-53
1517,894,-1382
1518,400,-304
1519,-62,-589
1520,-181,-643
1521,-163,-667
1522,-24,1461
1523,736,625
1524,-46,1448
1525,713,160
1526,695,159
1527,1873,2274
1528,1203,-624
1529,1191,-613
1530,952,-714
1531,1701,1233
1532,899,491
1533,885,495
1534,504,-544
1535,2018,2379
1536,902,-2246
1537,915,-2259
1538,880,-123
1539,71,-177
1540,76,-134
1541,1258,-512
1542,199,1000
1543,198,980
1544,1393,1164
1545,1706,1207
